Date,Amount,Category,Description
2024-01-01,250,Food,Grocery shopping
2024-01-02,120,Transport,Bus fare
2024-01-03,1500,Utilities,Electricity bill
2024-01-04,400,Entertainment,Movie tickets
2024-01-05,850,Shopping,Clothing purchase
2024-01-06,300,Food,Restaurant lunch
2024-01-07,200,Transport,Auto rickshaw
2024-01-08,2200,Utilities,Internet bill
2024-01-09,500,Healthcare,Pharmacy medicines
2024-01-10,1000,Education,Online course fee
2024-01-11,700,Food,Dinner with friends
2024-01-12,150,Transport,Metro ticket
2024-01-13,1800,Shopping,Shoes purchase
2024-01-14,600,Entertainment,Concert pass
2024-01-15,320,Food,Café snacks
2024-01-16,450,Transport,Fuel refill
2024-01-17,2100,Utilities,Water bill
2024-01-18,900,Healthcare,Doctor consultation
2024-01-19,1200,Education,Books purchase
2024-01-20,650,Food,Food delivery
2024-01-21,180,Transport,Bus fare
2024-01-22,2400,Utilities,Mobile recharge
2024-01-23,750,Entertainment,Streaming subscription
2024-01-24,1600,Shopping,Online shopping
2024-01-25,500,Food,Grocery shopping
2024-01-26,220,Transport,Metro ticket
2024-01-27,1900,Utilities,Gas bill
2024-01-28,350,Food,Restaurant meal
2024-01-29,800,Healthcare,Medical test
2024-01-30,1500,Education,Exam registration
2024-02-01,600,Entertainment,Movie snacks
2024-02-02,900,Shopping,Accessories
2024-02-03,275,Food,Breakfast
2024-02-04,130,Transport,Auto fare
2024-02-05,2100,Utilities,Electricity bill
2024-02-06,480,Food,Lunch outing
2024-02-07,700,Entertainment,Game subscription
2024-02-08,1600,Shopping,Winter wear
2024-02-09,350,Transport,Fuel refill
2024-02-10,950,Healthcare,Medicines
2024-02-11,1200,Education,Workshop fee
2024-02-12,400,Food,Café visit
2024-02-13,200,Transport,Bus fare
2024-02-14,1800,Utilities,Internet bill
2024-02-15,550,Entertainment,Event tickets
2024-02-16,1100,Shopping,Footwear
2024-02-17,300,Food,Snacks
2024-02-18,150,Transport,Metro pass
2024-02-19,2000,Utilities,Water bill
2024-02-20,600,Healthcare,Doctor visit
2024-02-21,1000,Education,Online class
2024-02-22,450,Food,Restaurant dinner
2024-02-23,250,Transport,Auto rickshaw
2024-02-24,2300,Utilities,Mobile bill
2024-02-25,800,Entertainment,Concert ticket
2024-02-26,1700,Shopping,Electronics
2024-02-27,320,Food,Grocery shopping
2024-02-28,180,Transport,Bus fare
2024-02-29,2100,Utilities,Gas bill
2024-03-01,500,Food,Food delivery
2024-03-02,900,Healthcare,Medical checkup
2024-03-03,1200,Education,Course renewal
2024-03-04,650,Entertainment,Streaming renewal
2024-03-05,1500,Shopping,Bag purchase
2024-03-06,350,Food,Lunch
2024-03-07,200,Transport,Metro ticket
2024-03-08,1900,Utilities,Electricity bill
2024-03-09,700,Entertainment,Movie tickets
2024-03-10,950,Shopping,Online shopping
2024-03-11,280,Food,Breakfast
2024-03-12,160,Transport,Auto fare
2024-03-13,2200,Utilities,Internet bill
2024-03-14,850,Healthcare,Medicines
2024-03-15,1000,Education,Exam fee
2024-03-16,500,Food,Dinner
2024-03-17,240,Transport,Bus pass
2024-03-18,2000,Utilities,Water bill
2024-03-19,750,Entertainment,Event ticket
2024-03-20,1800,Shopping,Clothing
